"ID";"Vermogensklassen";"KenmerkenVanHetHuishouden";"Perioden";"Aantal_1";"AantalPersonen_2";"Totaal_3";"Gemiddeld_4";"k_50ePercentielMediaan_5"
"165";"   1";"  43";"2011XX00";"818";"1";"137.2";"168";"27"
"166";"   1";"  43";"2011JJ00";"823";"1";"142.2";"173";"30"
"167";"   1";"  43";"2012JJ00";"851";"1";"144.9";"170";"32"
"168";"   1";"  44";"2006JJ00";"179";"1";"29.9";"167";"23"
"169";"   1";"  44";"2007JJ00";"185";"1";"33.6";"182";"25"
"170";"   1";"  44";"2008JJ00";"191";"1";"34.9";"182";"31"
"171";"   1";"  44";"2009JJ00";"198";"1";"37.7";"190";"38"
"172";"   1";"  44";"2010JJ00";"209";"1";"42.5";"203";"37"
"173";"   1";"  44";"2011XX00";"210";"1";"42";"200";"47"
"174";"   1";"  44";"2011JJ00";"213";"1";"42.3";"198";"44"
"175";"   1";"  44";"2012JJ00";"227";"1";"43.8";"193";"47"
"176";"   1";"  45";"2006JJ00";"585";"1";"85.7";"146";"22"
"177";"   1";"  45";"2007JJ00";"589";"1";"92.3";"157";"23"
"178";"   1";"  45";"2008JJ00";"594";"1";"97.4";"164";"23"
"179";"   1";"  45";"2009JJ00";"599";"1";"95";"158";"24"
"180";"   1";"  45";"2010JJ00";"609";"1";"95.8";"157";"24"
"181";"   1";"  45";"2011XX00";"607";"1";"95.1";"157";"24"
"182";"   1";"  45";"2011JJ00";"609";"1";"99.9";"164";"26"
"183";"   1";"  45";"2012JJ00";"624";"1";"101.1";"162";"28"
"184";"   1";"  46";"2006JJ00";"718";"2";"195.8";"273";"142"
"185";"   1";"  46";"2007JJ00";"735";"2";"219.2";"298";"163"
"186";"   1";"  46";"2008JJ00";"757";"2";"246.4";"325";"186"
"187";"   1";"  46";"2009JJ00";"780";"2";"242.4";"311";"186"
"188";"   1";"  46";"2010JJ00";"808";"2";"254.2";"315";"185"
"189";"   1";"  46";"2011XX00";"836";"2";"257.3";"308";"176"
"190";"   1";"  46";"2011JJ00";"833";"2";"256.8";"308";"177"
"191";"   1";"  46";"2012JJ00";"883";"2";"272.2";"308";"177"
"192";"   1";"  47";"2006JJ00";"524";"2";"139.2";"265";"136"
"193";"   1";"  47";"2007JJ00";"538";"2";"158.8";"295";"161"
"194";"   1";"  47";"2008JJ00";"554";"2";"179.1";"324";"187"
"195";"   1";"  47";"2009JJ00";"573";"2";"174.1";"304";"186"
"196";"   1";"  47";"2010JJ00";"592";"2";"183.2";"309";"186"
"197";"   1";"  47";"2011XX00";"614";"2";"190";"310";"177"
"198";"   1";"  47";"2011JJ00";"612";"2";"186.7";"305";"180"
"199";"   1";"  47";"2012JJ00";"651";"2";"200.1";"307";"182"
"200";"   1";"  48";"2006JJ00";"194";"2";"56.6";"292";"152"
"201";"   1";"  48";"2007JJ00";"197";"2";"60.3";"307";"165"
"202";"   1";"  48";"2008JJ00";"204";"2";"67.3";"330";"185"
"203";"   1";"  48";"2009JJ00";"207";"2";"68.3";"330";"187"
"204";"   1";"  48";"2010JJ00";"216";"2";"71";"329";"180"
"205";"   1";"  48";"2011XX00";"222";"2";"67.2";"303";"175"
"206";"   1";"  48";"2011JJ00";"221";"2";"70.1";"317";"169"
"207";"   1";"  48";"2012JJ00";"231";"2";"72.1";"312";"166"
"208";"   1";"  49";"2006JJ00";"147";"3.1";"48.5";"330";"190"
"209";"   1";"  49";"2007JJ00";"148";"3.1";"50.4";"341";"198"
"210";"   1";"  49";"2008JJ00";"146";"3.1";"55.4";"380";"229"
"211";"   1";"  49";"2009JJ00";"151";"3.1";"55.8";"370";"223"
"212";"   1";"  49";"2010JJ00";"149";"3.1";"54.8";"368";"200"
